,id,value
3,act,53
7,based,18
8,better,34
9,biden,45
10,black,24
11,business,47
13,campaign,30
14,care,81
15,cents,31
16,child,44
17,children,32
18,class,39
19,color,20
20,companies,32
21,congress,23
22,country,42
23,course,23
24,data,18
25,discrimination,27
26,disparities,25
27,dollar,22
28,earn,18
30,economy,68
31,employees,23
32,employers,19
33,equal,111
34,equality,20
35,equity,20
36,everybody,23
37,example,18
38,fact,20
39,fair,38
40,fairness,34
42,family,75
43,far,19
44,federal,23
45,financial,18
47,gender,78
48,getty,27
49,good,30
50,government,34
51,hard,32
52,harris,85
53,help,28
54,high,20
55,house,31
56,images,27
57,income,19
58,issue,29
59,jill,18
60,job,100
62,joe,30
63,kamala,31
64,labor,23
65,law,33
66,leave,34
67,left,23
68,lilly,23
69,long,21
70,look,26
71,lot,22
72,make,129
75,march,32
76,means,26
77,men,111
78,middle,34
79,million,27
80,minimum,24
81,money,28
82,national,25
83,need,42
84,obama,27
85,paid,67
86,pandemic,37
88,paycheck,31
90,people,64
91,place,19
92,plan,29
93,president,76
94,presidential,22
95,problem,21
96,republicans,19
97,right,48
98,says,18
99,senate,24
100,senator,19
101,states,19
102,tax,24
103,team,19
104,think,20
105,time,50
108,washington,19
109,way,36
110,white,22
112,women,371
113,work,119
114,workers,104
115,workforce,20
117,world,30
118,year,84